date,time,address,lat,long,nb_of_vehicles,vehicle_type,age,weather,surface,injury,meansev
02/02/10,16:00:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
02/02/10,13:47:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,,
03/02/10,21:10:00,"SOMERVILLE AVENUE ,Somerville,Massachusetts,USA",42.37726,-71.0892304,,,,,,0,5
05/02/10,16:31:00,"53 RUSSELL STREET,Somerville,Massachusetts,USA",42.3938179,-71.121474561761,,,,,,0,5
05/02/10,09:31:00,"PORTER STREET ,Somerville,Massachusetts,USA",42.390797,-71.110491,,,,,,,
06/02/10,02:42:00,"MCGRATH HIGHWAY Rte 28 S,Somerville,Massachusetts,USA",42.3748778449595,-71.0841757971003,,,,,,,
06/02/10,09:28:00,"CUTTER AVENUE ,Somerville,Massachusetts,USA",42.3945141,-71.1201734,,,,,,0,5
07/02/10,22:56:00,"SUMMER STREET ,Somerville,Massachusetts,USA",42.3818556,-71.0979813,,,,,,0,5
09/02/10,07:45:00,"58 COLUMBUS AVENUE,Somerville,Massachusetts,USA",42.38151685,-71.0948223371212,,,,,,0,5
09/02/10,16:47:00,"100 WASHINGTON STREET,Somerville,Massachusetts,USA",42.3809653,-71.0856578184691,,,,,,0,5
11/02/10,08:00:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,,
11/02/10,08:24:00,"MYSTIC AVENUE ,Somerville,Massachusetts,USA",42.3989812,-71.0935655,,,,,,0,5
11/02/10,10:46:00,"29 CLARK STREET,Somerville,Massachusetts,USA",42.37834605,-71.0973670159215,,,,,,0,5
12/02/10,06:30:00,"231 WASHINGTON STREET,Somerville,Massachusetts,USA",42.3798103,-71.0932778772761,,,,,,0,5
12/02/10,09:45:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
12/02/10,21:14:00,"MYSTIC AVENUE ,Somerville,Massachusetts,USA",42.3989812,-71.0935655,,,,,,0,5
13/02/10,08:00:00,"1366 BROADWAY,Somerville,Massachusetts,USA",42.4056384,-71.1329109,,,,,,0,5
15/02/10,13:20:00,"400 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.3807258,-71.1015952042622,,,,,,0,5
16/02/10,11:14:00,"493 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.38301905,-71.1047006793336,,,,,,0,5
17/02/10,05:25:00,"338 BROADWAY,Somerville,Massachusetts,USA",42.39285795,-71.0944066471537,,,,,,,
17/02/10,16:55:00,"SOUTH STREET ,Somerville,Massachusetts,USA",42.3750029,-71.0921738,,,,,,,
17/02/10,06:45:00,"ELM STREET ,Somerville,Massachusetts,USA",42.3929743,-71.1203776,,,,,,,
18/02/10,08:03:00,"HIGHLAND AVENUE ,Somerville,Massachusetts,USA",42.3956344,-71.1203257,,,,,,0,5
19/02/10,13:21:00,"49 BOW STREET,Somerville,Massachusetts,USA",42.3818111,-71.0982214211539,,,,,,,
19/02/10,15:29:00,"SOUTH STREET ,Somerville,Massachusetts,USA",42.3750029,-71.0921738,,,,,,0,5
20/02/10,14:30:00,"COLLEGE AVENUE,Somerville,Massachusetts,USA",42.405821,-71.117431,,,,,,0,5
20/02/10,17:20:00,"DOVER STREET ,Somerville,Massachusetts,USA",42.3954753,-71.1254059,,,,,,0,5
22/02/10,17:38:00,"72 HIGHLAND AVENUE,Somerville,Massachusetts,USA",42.38602725,-71.09664925,,,,,,0,5
23/02/10,00:00:00,"4 GEORGE STREET,Somerville,Massachusetts,USA",42.38625075,-71.0800172355658,,,,,,0,5
25/02/10,08:50:00,"DOVER STREET ,Somerville,Massachusetts,USA",42.3954753,-71.1254059,,,,,,0,5
25/02/10,14:53:00,"HIGHLAND AVENUE ,Somerville,Massachusetts,USA",42.3956344,-71.1203257,,,,,,0,5
25/02/10,18:05:00,"WILLOW AVENUE ,Somerville,Massachusetts,USA",42.397187,-71.114689,,,,,,,
25/02/10,20:10:00,"WALNUT STREET ,Somerville,Massachusetts,USA",42.3864694,-71.093478,,,,,,,
27/02/10,15:21:00,"CROSS STREET ,Somerville,Massachusetts,USA",42.3827209,-71.0900879,,,,,,,
27/02/10,23:27:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,0,5
28/02/10,00:00:00,"BROADWAY ,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
28/02/10,14:30:00,"HOLLAND STREET ,Somerville,Massachusetts,USA",42.3998635,-71.1252421,,,,,,0,5
01/03/10,15:34:00,"LOWDEN AVENUE ,Somerville,Massachusetts,USA",42.3993051,-71.1143053,,,,,,0,5
02/03/10,08:40:00,"SUMMER STREET ,Somerville,Massachusetts,USA",42.3818556,-71.0979813,,,,,,0,5
02/03/10,17:15:00,"39 DERBY STREET,Somerville,Massachusetts,USA",42.3940267,-71.0898331,,,,,,0,5
03/03/10,08:04:00,"ELM STREET ,Somerville,Massachusetts,USA",42.3929743,-71.1203776,,,,,,0,5
03/03/10,09:50:00,"333 WASHINGTON STREET,Somerville,Massachusetts,USA",42.3794316,-71.1017808,,,,,,,
03/03/10,14:20:00,"MYSTIC AVENUE ,Somerville,Massachusetts,USA",42.3989812,-71.0935655,,,,,,0,5
05/03/10,16:02:00,"301 BROADWAY,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
07/03/10,18:39:00,"23 MELVIN STREET,Somerville,Massachusetts,USA",42.38925345,-71.0901919,,,,,,0,5
08/03/10,01:20:00,"WASHINGTON STREET ,Somerville,Massachusetts,USA",42.380706,-71.088501,,,,,,0,5
10/03/10,12:00:00,"PROSPECT STREET,Somerville,Massachusetts,USA",42.3773363,-71.0953614,,,,,,0,5
10/03/10,12:18:00,"CENTRAL STREET ,Somerville,Massachusetts,USA",42.3861039,-71.1050562,,,,,,,
10/03/10,17:40:00,"MIDDLESEX AVENUE ,Somerville,Massachusetts,USA",42.3960478,-71.0839427,,,,,,0,5
12/03/10,15:01:00,"SOMERVILLE AVENUE ,Somerville,Massachusetts,USA",42.37726,-71.0892304,,,,,,0,5
13/03/10,11:15:00,"310 WASHINGTON STREET,Somerville,Massachusetts,USA",42.37923365,-71.1004283260556,,,,,,,
13/03/10,15:49:00,"PEARSON ROAD ,Somerville,Massachusetts,USA",42.402573,-71.115431,,,,,,0,5
14/03/10,16:32:00,"368 BEACON STREET,Somerville,Massachusetts,USA",42.3859607,-71.1160322,,,,,,0,5
15/03/10,00:00:00,"ELM STREET ,Somerville,Massachusetts,USA",42.3929743,-71.1203776,,,,,,0,5
15/03/10,14:50:00,"493 SOMERVILLE AVENUE,Somerville,Massachusetts,USA",42.38301905,-71.1047006793336,,,,,,0,5
15/03/10,16:56:00,"BEACON STREET ,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,0,5
15/03/10,17:26:00,"MEACHAM STREET ,Somerville,Massachusetts,USA",42.397121,-71.095505,,,,,,0,5
15/03/10,18:31:00,"65 BOW STREET,Somerville,Massachusetts,USA",42.3815655454545,-71.0992661818182,,,,,,0,5
15/03/10,20:10:00,"ELM STREET ,Somerville,Massachusetts,USA",42.3929743,-71.1203776,,,,,,0,5
15/03/10,07:31:00,"HIGHLAND AVENUE ,Somerville,Massachusetts,USA",42.3956344,-71.1203257,,,,,,,
16/03/10,05:30:00,"BEACON STREET,Somerville,Massachusetts,USA",42.3766261,-71.1043605,,,,,,0,5
17/03/10,16:01:00,"BROADWAY,Somerville,Massachusetts,USA",42.3862771,-71.078707,,,,,,,
